* Block Type = 96-Well 0.2-mL Block
* Chemistry = TAQMAN
* Date Created = 2015-12-22 09:15:13 AM PST
* Experiment Barcode = NA
* Experiment Comment = Prime Star GXL mg/dntp start
grid screen 40, 45, 50 deg
* Experiment File Name = D:\Users\INSTR-USER\Desktop\Yarrow\Results\122115\2015-12_21_1_Prime_Star_GXL_Pol_kinetics.eds
* Experiment Name = 2015-12_21_1_Prime_Star_GXL_Pol_kinetics
* Experiment Run End Time = 2015-12-21 10:21:47 AM PST
* Experiment Type = Custom
* Instrument Name =       quantstudio3
* Instrument Serial Number = 272320216
* Instrument Type = QuantStudio® 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage4, Step1
* User Name = Yarrow

[Multicomponent Data]
Well Position	Cycle	ROX	SYBR
      D1	3		
      D2	3		
      D3	3		
      D4	3	98,924.367	894,138.375
      D5	3	91,607.945	604,034.125
      D6	3	86,409.430	760,619.125
      D7	3	87,940.922	753,406.625
      D8	3		
      D9	3		
      D10	3	82,548.281	648,653.188
      D11	3		
      D12	3		
      E1	3		
      E2	3	82,009.125	756,775.000
      E3	3	84,421.602	749,985.062
      E4	3	90,743.500	794,712.688
      E5	3	88,092.867	602,122.938
      E6	3	88,533.922	741,380.875
      E7	3	90,217.148	751,240.312
      E8	3		
      E9	3		
      E10	3	78,065.672	548,295.000
      E11	3		
      E12	3		
      F1	3		
      F2	3	82,443.562	1,298,346.875
      F3	3	66,379.781	1,355,654.125
      F4	3	98,711.945	859,645.438
      F5	3	85,817.258	572,569.938
      F6	3	81,926.828	676,334.688
      F7	3	91,049.539	703,867.438
      F8	3		
      F9	3		
      F10	3	78,866.766	463,644.594
      F11	3		
      F12	3		
      G1	3		
      G2	3	58,730.418	1,773,636.000
      G3	3	56,539.043	1,832,386.250
      G4	3	90,918.586	798,743.625
      G5	3	75,400.539	538,975.938
      G6	3	78,043.812	619,910.375
      G7	3	82,509.266	633,180.062
      G8	3		
      G9	3		
      G10	3	73,844.562	417,019.312
      G11	3		
      G12	3		
      H1	3		
      H2	3	41,864.223	2,186,282.000
      H3	3	39,384.215	2,168,974.000
      H4	3		
      H5	3		
      H6	3		
      H7	3		
      H8	3		
      H9	3		
      H10	3		
      H11	3		
      H12	3		
      A1	4		
      A2	4		
      A3	4		
      A4	4	126,421.891	1,177,490.625
      A5	4	102,617.539	642,193.562
      A6	4	100,832.758	1,010,322.750
      A7	4	97,636.039	1,013,641.312
      A8	4		
      A9	4		
      A10	4	95,932.617	892,747.938
      A11	4		
      A12	4		
      B1	4		
      B2	4		
      B3	4		
      B4	4	106,230.758	949,436.500
      B5	4	96,178.547	584,094.000
      B6	4	89,523.352	892,291.750
      B7	4	93,364.234	917,945.188
      B8	4		
      B9	4		
      B10	4	86,035.953	815,216.625
      B11	4		
      B12	4		
      C1	4		
      C2	4		
      C3	4		
      C4	4	98,306.078	905,190.500
      C5	4	86,799.953	553,679.875
      C6	4	91,083.492	857,541.875
      C7	4	88,008.461	833,931.438
      C8	4		
      C9	4		
      C10	4	82,174.188	790,350.250
      C11	4		
      C12	4		
      D1	4		
      D2	4		
      D3	4		
      D4	4	99,213.789	924,953.875
      D5	4	91,791.078	601,667.875
      D6	4	86,307.375	807,802.000
      D7	4	88,284.773	802,748.000
      D8	4		
      D9	4		
      D10	4	82,163.188	736,137.562
      D11	4		
      D12	4		
      E1	4		
      E2	4	81,929.273	754,499.062
      E3	4	84,824.633	752,418.250
      E4	4	91,129.555	817,080.500
      E5	4	88,350.445	599,810.375
      E6	4	89,271.211	784,647.875
      E7	4	90,309.648	791,701.625
      E8	4		
      E9	4		
      E10	4	77,831.742	603,703.375
      E11	4		
      E12	4		
      F1	4		
      F2	4	82,462.422	1,307,913.000
      F3	4	66,299.750	1,365,337.250
      F4	4	98,356.969	876,334.312
      F5	4	85,595.266	572,461.375
      F6	4	83,103.883	712,423.250
      F7	4	90,813.695	734,547.000
      F8	4		
      F9	4		
      F10	4	78,871.469	496,775.062
      F11	4		
      F12	4		
      G1	4		
      G2	4	58,976.891	1,789,383.125
      G3	4	56,540.461	1,844,096.750
      G4	4	91,075.914	804,551.000
      G5	4	75,833.258	538,508.375
      G6	4	78,382.414	638,335.062
      G7	4	81,996.367	643,260.562
      G8	4		
      G9	4		
      G10	4	73,686.070	432,052.188
      G11	4		
      G12	4		
      H1	4		
      H2	4	41,757.699	2,200,033.750
      H3	4	39,309.008	2,183,704.000
      H4	4		
      H5	4		
      H6	4		
      H7	4		
      H8	4		
      H9	4		
      H10	4		
      H11	4		
      H12	4		
      A1	5		
      A2	5		
      A3	5		
      A4	5	125,725.492	1,213,062.500
      A5	5	102,110.719	638,213.000
      A6	5	100,758.461	1,079,020.875
      A7	5	97,202.523	1,082,009.625
      A8	5		
      A9	5		
      A10	5	95,440.555	1,032,882.125
      A11	5		
      A12	5		
      B1	5		
      B2	5		
      B3	5		
      B4	5	105,855.227	975,003.625
      B5	5	95,663.180	583,126.875
      B6	5	89,656.289	955,831.625
      B7	5	93,766.469	981,313.875
      B8	5		
      B9	5		
      B10	5	85,504.070	925,752.688
      B11	5		
      B12	5		
      C1	5		
      C2	5		
      C3	5		
      C4	5	99,002.641	927,622.125
      C5	5	86,939.766	553,227.375
      C6	5	90,095.812	908,557.375
      C7	5	88,213.414	884,493.438
      C8	5		
      C9	5		
      C10	5	81,672.031	883,680.938
      C11	5		
      C12	5		
      D1	5		
      D2	5		
      D3	5		
      D4	5	99,029.391	947,680.250
      D5	5	91,436.742	600,743.625
      D6	5	85,796.391	846,170.750
